#,OFFENSE,BOND,WARRANT #,FILED BY,JAIL ID,ARREST DT,RELEASE DT,RACE_SEX,days_served,ARREST YEAR,RACE,SEX
7,TRAFFIC OFFENSE-MOVING,25,97408,PAPD,254247,2005-01-01,2005-01-02,WM,1.0,2005,W,M
8,DRIVING-EXPIRED LIC. PLATE,0,71120,PAPD,254247,2005-01-01,2005-01-02,WM,1.0,2005,W,M
1,PUBLIC INTOXICATION,0,81360,PAPD,222513,2005-01-02,2005-01-02,WM,0.0,2005,W,M
1,DRIVING-WHILE LIC INVALID,0,105087,PAPD,245952,2005-01-03,2005-01-03,BM,0.0,2005,B,M
2,NO LIABILITY INSURANCE,0,105087,PAPD,245952,2005-01-03,2005-01-03,BM,0.0,2005,B,M
3,CITY ORDINANCE,0,105087,PAPD,245952,2005-01-03,2005-01-03,BM,0.0,2005,B,M
4,FAILURE TO APPEAR,0,9096190,PAPD,245952,2005-01-03,2005-01-03,BM,0.0,2005,B,M
5,DRIVING-WHILE LIC INVALID,0,96190,PAPD,245952,2005-01-03,2005-01-03,BM,0.0,2005,B,M
6,FAILURE TO APPEAR,0,9090285,PAPD,245952,2005-01-03,2005-01-03,BM,0.0,2005,B,M
7,SPEEDING,0,90285,PAPD,245952,2005-01-03,2005-01-03,BM,0.0,2005,B,M
8,DRIVING-WHILE LIC INVALID,0,107843,PAPD,245952,2005-01-03,2005-01-03,BM,0.0,2005,B,M
9,TRAF OFF-MOVING-NO SEATBELT,0,0,PAPD,245952,2005-01-03,2005-01-03,BM,0.0,2005,B,M
10,NO LIABILITY INSURANCE,0,107843,PAPD,245952,2005-01-03,2005-01-03,BM,0.0,2005,B,M
1,DRIVING-D.L. VIOLATION,0,105023,PAPD,254269,2005-01-03,2005-01-03,BF,0.0,2005,B,F
2,SPEEDING,0,105023,PAPD,254269,2005-01-03,2005-01-03,BF,0.0,2005,B,F
1,DISORDERLY CONDUCT,25,0,PAPD,71097,2005-01-04,2005-01-05,BM,1.0,2005,B,M
1,FAILURE TO APPEAR,25,9096962,PAPD,167053,2005-01-04,2005-01-04,BM,0.0,2005,B,M
2,DRIVING-WHILE LIC INVALID,25,96962,PAPD,167053,2005-01-04,2005-01-04,BM,0.0,2005,B,M
3,FAILURE TO MNTN SINGLE LANE,25,96962,PAPD,167053,2005-01-04,2005-01-04,BM,0.0,2005,B,M
1,DRIVING-WHILE LIC INVALID,0,106996,PAPD,190763,2005-01-04,2005-01-10,BM,6.0,2005,B,M
2,NO LIABILITY INSURANCE,0,106996,PAPD,190763,2005-01-04,2005-01-10,BM,6.0,2005,B,M
3,DRIVING-EXPIRED LIC. PLATE,0,106996,PAPD,190763,2005-01-04,2005-01-10,BM,6.0,2005,B,M
1,FAILURE TO APPEAR,0,9067563,PAPD,208712,2005-01-04,2005-01-04,WM,0.0,2005,W,M
2,NO LIABILITY INSURANCE,0,67563,PAPD,208712,2005-01-04,2005-01-04,WM,0.0,2005,W,M
3,VEH-LICENSE PLATE OFFENSE,0,67563,PAPD,208712,2005-01-04,2005-01-04,WM,0.0,2005,W,M
4,FAILURE TO APPEAR,0,9067179,PAPD,208712,2005-01-04,2005-01-04,WM,0.0,2005,W,M
5,DRIVING-WHILE INTOX-CLASS C,0,67179,PAPD,208712,2005-01-04,2005-01-04,WM,0.0,2005,W,M
6,VEH-LICENSE PLATE OFFENSE,0,67179,PAPD,208712,2005-01-04,2005-01-04,WM,0.0,2005,W,M
7,FAILURE TO APPEAR,0,9070565,PAPD,208712,2005-01-04,2005-01-04,WM,0.0,2005,W,M
8,PUBLIC INTOXICATION,0,70565,PAPD,208712,2005-01-04,2005-01-04,WM,0.0,2005,W,M
9,FAILURE TO APPEAR,0,0,PAPD,208712,2005-01-04,2005-01-04,WM,0.0,2005,W,M
1,FAILURE TO APPEAR,25,9110648,PAPD,173189,2005-01-05,2005-01-05,WM,0.0,2005,W,M
2,PUBLIC INTOXICATION,25,110648,PAPD,173189,2005-01-05,2005-01-05,WM,0.0,2005,W,M
1,FAILURE TO APPEAR,25,9106900,PAPD,179214,2005-01-05,2005-01-05,BF,0.0,2005,B,F
2,DRIVING-NO DRIVERS LICENSE,25,106900,PAPD,179214,2005-01-05,2005-01-05,BF,0.0,2005,B,F
3,STOP LIGHT- RUNNING,25,106900,PAPD,179214,2005-01-05,2005-01-05,BF,0.0,2005,B,F
4,FAILURE TO APPEAR,25,8067448,PAPD,179214,2005-01-05,2005-01-05,BF,0.0,2005,B,F
5,DRIVING-NO DRIVERS LICENSE,25,67448,PAPD,179214,2005-01-05,2005-01-05,BF,0.0,2005,B,F
6,NO LIABILITY INSURANCE,25,67448,PAPD,179214,2005-01-05,2005-01-05,BF,0.0,2005,B,F
7,FAILURE TO APPEAR,25,9091545,PAPD,179214,2005-01-05,2005-01-05,BF,0.0,2005,B,F
8,DRIVING-NO DRIVERS LICENSE,25,91545,PAPD,179214,2005-01-05,2005-01-05,BF,0.0,2005,B,F
9,CITY ORDINANCE,25,0,PAPD,179214,2005-01-05,2005-01-05,BF,0.0,2005,B,F
1,FAILURE TO APPEAR,25,9063581,PAPD,203069,2005-01-05,2005-01-05,BM,0.0,2005,B,M
2,SCHOOL LAW-VIOLATE COMPULSR,25,63581,PAPD,203069,2005-01-05,2005-01-05,BM,0.0,2005,B,M
3,SCHOOL LAW-VIOLATE COMPULSR,0,63580,PAPD,203069,2005-01-05,2005-01-05,BM,0.0,2005,B,M
1,DRIVING-NO DRIVERS LICENSE,25,0,PAPD,214548,2005-01-05,2005-01-05,WM,0.0,2005,W,M
2,NO LIABILITY INSURANCE,25,0,PAPD,214548,2005-01-05,2005-01-05,WM,0.0,2005,W,M
1,PUBLIC INTOXICATION,25,0,PAPD,247094,2005-01-05,2005-01-05,BM,0.0,2005,B,M
1,FAILURE TO APPEAR,25,7108702,PAPD,161400,2005-01-06,2005-01-06,WM,0.0,2005,W,M
2,FAILURE TO APPEAR,25,5080316,PAPD,161400,2005-01-06,2005-01-06,WM,0.0,2005,W,M
3,FAILURE TO APPEAR,25,8108702,PAPD,161400,2005-01-06,2005-01-06,WM,0.0,2005,W,M
4,FAILURE TO APPEAR,25,6080316,PAPD,161400,2005-01-06,2005-01-06,WM,0.0,2005,W,M
5,PUBLIC INTOXICATION,25,108702,PAPD,161400,2005-01-06,2005-01-06,WM,0.0,2005,W,M
6,PUBLIC INTOXICATION,25,80316,PAPD,161400,2005-01-06,2005-01-06,WM,0.0,2005,W,M
1,CITY ORDINANCE,25,0,PAPD,71097,2005-01-07,2005-01-07,BM,0.0,2005,B,M
1,FAILURE TO APPEAR,25,8111767,PAPD,126435,2005-01-07,2005-01-10,BM,3.0,2005,B,M
2,CITY ORDINANCE,25,111767,PAPD,126435,2005-01-07,2005-01-10,BM,3.0,2005,B,M
1,PUBLIC INTOXICATION,25,0,PAPD,177183,2005-01-07,2005-01-09,BM,2.0,2005,B,M
1,FAILURE TO APPEAR,0,9090249,PAPD,221372,2005-01-07,2005-01-08,WM,1.0,2005,W,M
1,FAILURE TO APPEAR,25,9109425,PAPD,16200,2005-01-08,2005-01-12,BM,4.0,2005,B,M
2,DRIVING-WHILE LIC INVALID,25,109425,PAPD,16200,2005-01-08,2005-01-12,BM,4.0,2005,B,M
1,FAILURE TO APPEAR,0,9081514,PAPD,211567,2005-01-08,2005-01-08,BM,0.0,2005,B,M
2,DRIVING-WHILE LIC INVALID,0,81514,PAPD,211567,2005-01-08,2005-01-08,BM,0.0,2005,B,M
3,FAILURE TO MNTN FINAN RESP,0,81514,PAPD,211567,2005-01-08,2005-01-08,BM,0.0,2005,B,M
4,DRIVING-NO LICENSE PLATES,0,81514,PAPD,211567,2005-01-08,2005-01-08,BM,0.0,2005,B,M
5,FAILURE TO APPEAR,0,9081928,PAPD,211567,2005-01-08,2005-01-08,BM,0.0,2005,B,M
6,FAILURE TO APPEAR,0,9082193,PAPD,211567,2005-01-08,2005-01-08,BM,0.0,2005,B,M
7,FAILURE TO MNTN FINAN RESP,0,81928,PAPD,211567,2005-01-08,2005-01-08,BM,0.0,2005,B,M
8,DRIVING-WHILE LIC INVALID,0,82193,PAPD,211567,2005-01-08,2005-01-08,BM,0.0,2005,B,M
9,TRAF OFF-MOVING-NO SEATBELT,0,0,PAPD,211567,2005-01-08,2005-01-08,BM,0.0,2005,B,M
10,TRAFFIC IN CHILDREN U/15 YR,0,82193,PAPD,211567,2005-01-08,2005-01-08,BM,0.0,2005,B,M
1,FAILURE TO APPEAR,25,9106028,PAPD,230030,2005-01-08,2005-01-08,WM,0.0,2005,W,M
2,DRIVING-WHILE LIC INVALID,25,106028,PAPD,230030,2005-01-08,2005-01-08,WM,0.0,2005,W,M
3,NO LIABILITY INSURANCE,25,106028,PAPD,230030,2005-01-08,2005-01-08,WM,0.0,2005,W,M
4,DRIVING-EXPIRED LIC. PLATE,25,106028,PAPD,230030,2005-01-08,2005-01-08,WM,0.0,2005,W,M
1,FAILURE TO APPEAR,0,9092935,PAPD,242966,2005-01-08,2005-01-08,BF,0.0,2005,B,F
2,SEE HOLD/NOTE,0,92935,PAPD,242966,2005-01-08,2005-01-08,BF,0.0,2005,B,F
1,FAILURE TO APPEAR,25,7101395,PAPD,243387,2005-01-08,2005-01-08,WM,0.0,2005,W,M
2,FAILURE TO APPEAR,0,9101395,PAPD,243387,2005-01-08,2005-01-08,WM,0.0,2005,W,M
3,DRIVING-NO DRIVERS LICENSE,0,101395,PAPD,243387,2005-01-08,2005-01-08,WM,0.0,2005,W,M
4,STOP LIGHT- RUNNING,0,101395,PAPD,243387,2005-01-08,2005-01-08,WM,0.0,2005,W,M
5,NO LIABILITY INSURANCE,0,101395,PAPD,243387,2005-01-08,2005-01-08,WM,0.0,2005,W,M
1,FAILURE TO APPEAR,25,9068838,PAPD,254370,2005-01-08,2005-01-09,BM,1.0,2005,B,M
2,SPEEDING,25,68838,PAPD,254370,2005-01-08,2005-01-09,BM,1.0,2005,B,M
1,PUBLIC INTOXICATION,25,0,PAPD,516,2005-01-09,2005-01-10,WM,1.0,2005,W,M
1,FAILURE TO APPEAR,0,9000506,PAPD,37068,2005-01-09,2005-01-15,BF,6.0,2005,B,F
2,CITY ORDINANCE,0,506,PAPD,37068,2005-01-09,2005-01-15,BF,6.0,2005,B,F
3,CITY ORDINANCE,0,506,PAPD,37068,2005-01-09,2005-01-15,BF,6.0,2005,B,F
1,DISORDERLY CONDUCT,25,0,PAPD,128422,2005-01-09,2005-01-10,WM,1.0,2005,W,M
1,FAILURE TO APPEAR,0,8079980,PAPD,144078,2005-01-09,2005-01-16,BM,7.0,2005,B,M
2,FAILURE TO APPEAR,0,9079980,PAPD,144078,2005-01-09,2005-01-16,BM,7.0,2005,B,M
3,DRIVING-WHILE LIC INVALID,0,79980,PAPD,144078,2005-01-09,2005-01-16,BM,7.0,2005,B,M
4,NO LIABILITY INSURANCE,0,79980,PAPD,144078,2005-01-09,2005-01-16,BM,7.0,2005,B,M
5,DRIVING-EXPIRED LIC. PLATE,0,79980,PAPD,144078,2005-01-09,2005-01-16,BM,7.0,2005,B,M
1,FAILURE TO APPEAR,25,9106874,PAPD,168122,2005-01-09,2005-01-09,BF,0.0,2005,B,F
2,THEFT-CLASS C,25,106874,PAPD,168122,2005-01-09,2005-01-09,BF,0.0,2005,B,F
3,FAILURE TO APPEAR,25,8089194,PAPD,168122,2005-01-09,2005-01-09,BF,0.0,2005,B,F
4,FAILURE TO APPEAR,25,9089194,PAPD,168122,2005-01-09,2005-01-09,BF,0.0,2005,B,F
5,THEFT-CLASS C,25,89194,PAPD,168122,2005-01-09,2005-01-09,BF,0.0,2005,B,F
6,FAILURE TO APPEAR,25,9108259,PAPD,168122,2005-01-09,2005-01-09,BF,0.0,2005,B,F
7,FAILURE TO APPEAR,25,8096227,PAPD,168122,2005-01-09,2005-01-09,BF,0.0,2005,B,F
8,DRIVING-WHILE LIC INVALID,25,108259,PAPD,168122,2005-01-09,2005-01-09,BF,0.0,2005,B,F
9,DEFECTIVE EQUIPMENT,25,0,PAPD,168122,2005-01-09,2005-01-09,BF,0.0,2005,B,F
10,TRAF OFF-NO CHILD RESTRAINT,25,108059,PAPD,168122,2005-01-09,2005-01-09,BF,0.0,2005,B,F
1,PUBLIC INTOXICATION,25,0,PAPD,191402,2005-01-09,2005-01-09,BM,0.0,2005,B,M
1,FAILURE TO APPEAR,25,9090829,PAPD,201688,2005-01-09,2005-01-09,BF,0.0,2005,B,F
2,DRUG PARAPHERNALIA-POSS,25,90829,PAPD,201688,2005-01-09,2005-01-09,BF,0.0,2005,B,F
1,NO LIABILITY INSURANCE,0,105051,PAPD,238784,2005-01-09,2005-01-10,WM,1.0,2005,W,M
1,FAILURE TO APPEAR,25,9108120,PAPD,241398,2005-01-09,2005-01-09,BM,0.0,2005,B,M
2,STOP SIGN- RUNNING,25,108120,PAPD,241398,2005-01-09,2005-01-09,BM,0.0,2005,B,M
3,FAILURE TO APPEAR,25,9104891,PAPD,241398,2005-01-09,2005-01-09,BM,0.0,2005,B,M
4,FAILURE TO APPEAR,25,9104890,PAPD,241398,2005-01-09,2005-01-09,BM,0.0,2005,B,M
5,DRIVING-NO DRIVERS LICENSE,25,104891,PAPD,241398,2005-01-09,2005-01-09,BM,0.0,2005,B,M
6,SPEED-FAILURE TO CONTROL,25,104891,PAPD,241398,2005-01-09,2005-01-09,BM,0.0,2005,B,M
7,DRIVING-NO DRIVERS LICENSE,25,104890,PAPD,241398,2005-01-09,2005-01-09,BM,0.0,2005,B,M
8,SPEED-FAILURE TO CONTROL,25,104890,PAPD,241398,2005-01-09,2005-01-09,BM,0.0,2005,B,M
1,DRIVING-NO DRIVERS LICENSE,0,77247,PAPD,254378,2005-01-09,2005-01-16,WM,7.0,2005,W,M
2,DRIVING-EXPIRED LIC. PLATE,0,77248,PAPD,254378,2005-01-09,2005-01-16,WM,7.0,2005,W,M
3,NO LIABILITY INSURANCE,0,77249,PAPD,254378,2005-01-09,2005-01-16,WM,7.0,2005,W,M
4,FAILURE TO APPEAR,25,9104811,PAPD,254378,2005-01-09,2005-01-16,WM,7.0,2005,W,M
5,DRIVING-NO DRIVERS LICENSE,25,104811,PAPD,254378,2005-01-09,2005-01-16,WM,7.0,2005,W,M
6,NO LIABILITY INSURANCE,25,104811,PAPD,254378,2005-01-09,2005-01-16,WM,7.0,2005,W,M
1,FAILURE TO APPEAR,25,9080879,PAPD,254379,2005-01-09,2005-01-09,BF,0.0,2005,B,F
2,SPEEDING,25,80879,PAPD,254379,2005-01-09,2005-01-09,BF,0.0,2005,B,F
1,DRIVING-WHILE LIC INVALID,0,98572,PAPD,254382,2005-01-09,2005-01-09,BM,0.0,2005,B,M
2,SPEED-FAILURE TO CONTROL,0,98572,PAPD,254382,2005-01-09,2005-01-09,BM,0.0,2005,B,M
1,FAILURE TO APPEAR,25,9075330,PAPD,150560,2005-01-10,2005-01-10,BF,0.0,2005,B,F
2,DRIVING-NO DRIVERS LICENSE,25,75330,PAPD,150560,2005-01-10,2005-01-10,BF,0.0,2005,B,F
3,NO LIABILITY INSURANCE,25,75330,PAPD,150560,2005-01-10,2005-01-10,BF,0.0,2005,B,F
1,FAILURE TO APPEAR,25,5093127,PAPD,166452,2005-01-10,2005-01-10,BM,0.0,2005,B,M
2,FAILURE TO APPEAR,25,6093127,PAPD,166452,2005-01-10,2005-01-10,BM,0.0,2005,B,M
3,STOP SIGN- RUNNING,25,93127,PAPD,166452,2005-01-10,2005-01-10,BM,0.0,2005,B,M
1,FAILURE TO APPEAR,25,7084103,PAPD,210790,2005-01-10,2005-01-10,BM,0.0,2005,B,M
2,FAILURE TO APPEAR,25,8084103,PAPD,210790,2005-01-10,2005-01-10,BM,0.0,2005,B,M
3,DEFECTIVE EQUIPMENT,25,84103,PAPD,210790,2005-01-10,2005-01-10,BM,0.0,2005,B,M
4,STOP LIGHT- RUNNING,25,84103,PAPD,210790,2005-01-10,2005-01-10,BM,0.0,2005,B,M
5,NO LIABILITY INSURANCE,25,84103,PAPD,210790,2005-01-10,2005-01-10,BM,0.0,2005,B,M
6,FAILURE TO APPEAR,25,8101904,PAPD,210790,2005-01-10,2005-01-10,BM,0.0,2005,B,M
7,FAILURE TO APPEAR,25,9101904,PAPD,210790,2005-01-10,2005-01-10,BM,0.0,2005,B,M
8,DRIVING-WHILE LIC EXPIRED,25,101904,PAPD,210790,2005-01-10,2005-01-10,BM,0.0,2005,B,M
9,NO LIABILITY INSURANCE,25,0,PAPD,210790,2005-01-10,2005-01-10,BM,0.0,2005,B,M
1,FAILURE TO APPEAR,25,9109312,PAPD,230288,2005-01-10,2005-01-10,BM,0.0,2005,B,M
2,DRIVING-WHILE LIC INVALID,25,109312,PAPD,230288,2005-01-10,2005-01-10,BM,0.0,2005,B,M
3,TRAF OFF-NO CHILD RESTRAINT,25,109312,PAPD,230288,2005-01-10,2005-01-10,BM,0.0,2005,B,M
4,NO LIABILITY INSURANCE,25,109312,PAPD,230288,2005-01-10,2005-01-10,BM,0.0,2005,B,M
1,FAILURE TO APPEAR,25,7083996,PAPD,39991,2005-01-11,2005-01-18,BM,7.0,2005,B,M
2,CITY ORDINANCE,25,83996,PAPD,39991,2005-01-11,2005-01-18,BM,7.0,2005,B,M
3,FAILURE TO APPEAR,25,9096158,PAPD,39991,2005-01-11,2005-01-18,BM,7.0,2005,B,M
4,TRAF OFF-MOVING-NO SEATBELT,25,96158,PAPD,39991,2005-01-11,2005-01-18,BM,7.0,2005,B,M
5,DEFECTIVE EQUIPMENT,0,83631,PAPD,39991,2005-01-11,2005-01-18,BM,7.0,2005,B,M
6,FAILURE TO MNTN FINAN RESP,0,83631,PAPD,39991,2005-01-11,2005-01-18,BM,7.0,2005,B,M
7,DRIVING-EXPIRED LIC. PLATE,0,83631,PAPD,39991,2005-01-11,2005-01-18,BM,7.0,2005,B,M
8,FAILURE TO MNTN FINAN RESP,0,82776,PAPD,39991,2005-01-11,2005-01-18,BM,7.0,2005,B,M
9,DRIVING-EXPIRED LIC. PLATE,0,0,PAPD,39991,2005-01-11,2005-01-18,BM,7.0,2005,B,M
1,FAILURE TO APPEAR,0,9102740,PAPD,223178,2005-01-11,2005-01-11,BF,0.0,2005,B,F
2,SPEEDING,0,102740,PAPD,223178,2005-01-11,2005-01-11,BF,0.0,2005,B,F
1,CITY ORDINANCE,0,101863,PAPD,233297,2005-01-11,2005-01-12,BM,1.0,2005,B,M
1,FAILURE TO APPEAR,0,9034110,PAPD,135176,2005-01-12,2005-01-13,WM,1.0,2005,W,M
1,FAILURE TO APPEAR,25,9101300,PAPD,205368,2005-01-12,2005-01-15,BF,3.0,2005,B,F
2,THEFT-CLASS C,25,101300,PAPD,205368,2005-01-12,2005-01-15,BF,3.0,2005,B,F
1,CITY ORDINANCE,25,0,PAPD,253417,2005-01-12,2005-01-12,WM,0.0,2005,W,M
1,TRAFFIC OFFENSE,0,105550,PAPD,254452,2005-01-12,2005-01-15,BM,3.0,2005,B,M
2,TRAFFIC OFFENSE,0,105550,PAPD,254452,2005-01-12,2005-01-15,BM,3.0,2005,B,M
1,PUBLIC INTOXICATION,25,0,PAPD,254457,2005-01-12,2005-01-13,WM,1.0,2005,W,M
1,PUBLIC INTOXICATION,25,0,PAPD,236819,2005-01-13,2005-01-18,WM,5.0,2005,W,M
1,FAILURE TO APPEAR,25,8102306,PAPD,249948,2005-01-13,2005-01-13,BF,0.0,2005,B,F
2,FAILURE TO APPEAR,25,9102306,PAPD,249948,2005-01-13,2005-01-13,BF,0.0,2005,B,F
1,PUBLIC INTOXICATION,0,97208,PAPD,149275,2005-01-14,2005-01-14,BM,0.0,2005,B,M
1,FAILURE TO APPEAR,25,9111337,PAPD,12372,2005-01-15,2005-01-20,WM,5.0,2005,W,M
2,DRIVING-NO DRIVERS LICENSE,25,111337,PAPD,12372,2005-01-15,2005-01-20,WM,5.0,2005,W,M
3,DRIVING-EXPIRED LIC. PLATE,25,111337,PAPD,12372,2005-01-15,2005-01-20,WM,5.0,2005,W,M
1,PUBLIC INTOXICATION,25,0,PAPD,20406,2005-01-15,2005-01-15,BM,0.0,2005,B,M
1,FAILURE TO APPEAR,0,9059862,PAPD,32248,2005-01-15,2005-01-21,WF,6.0,2005,W,F
2,DRIVING-NO DRIVERS LICENSE,0,59862,PAPD,32248,2005-01-15,2005-01-21,WF,6.0,2005,W,F
3,FAILURE TO MNTN FINAN RESP,0,59862,PAPD,32248,2005-01-15,2005-01-21,WF,6.0,2005,W,F
4,DRIVING-EXPIRED LIC. PLATE,0,59862,PAPD,32248,2005-01-15,2005-01-21,WF,6.0,2005,W,F
1,FAILURE TO APPEAR,25,9111797,PAPD,195278,2005-01-15,2005-01-21,BM,6.0,2005,B,M
2,OBSTRUCT- PASSAGEWAY,25,111797,PAPD,195278,2005-01-15,2005-01-21,BM,6.0,2005,B,M
3,FAILURE TO APPEAR,25,8110615,PAPD,195278,2005-01-15,2005-01-21,BM,6.0,2005,B,M
4,FAILURE TO APPEAR,25,9110615,PAPD,195278,2005-01-15,2005-01-21,BM,6.0,2005,B,M
5,DISORDERLY CONDUCT,25,110615,PAPD,195278,2005-01-15,2005-01-21,BM,6.0,2005,B,M
6,FAILURE TO IDENTIFY,25,110615,PAPD,195278,2005-01-15,2005-01-21,BM,6.0,2005,B,M
1,DRIVING-NO DRIVERS LICENSE,25,0,PAPD,212950,2005-01-15,2005-01-21,BM,6.0,2005,B,M
2,DRIVING-EXPIRED LIC. PLATE,25,0,PAPD,212950,2005-01-15,2005-01-21,BM,6.0,2005,B,M
3,NO LIABILITY INSURANCE,25,0,PAPD,212950,2005-01-15,2005-01-21,BM,6.0,2005,B,M
4,DEFECTIVE EQUIPMENT,25,0,PAPD,212950,2005-01-15,2005-01-21,BM,6.0,2005,B,M
5,TRAFFIC OFFENSE-MOVING,25,0,PAPD,212950,2005-01-15,2005-01-21,BM,6.0,2005,B,M
1,FAILURE TO APPEAR,25,9106358,PAPD,250400,2005-01-15,2005-01-16,WM,1.0,2005,W,M
2,DRIVING-WHILE LIC INVALID,25,106358,PAPD,250400,2005-01-15,2005-01-16,WM,1.0,2005,W,M
3,TRAF OFF-MOVING-NO SEATBELT,25,106358,PAPD,250400,2005-01-15,2005-01-16,WM,1.0,2005,W,M
1,PUBLIC INTOXICATION,25,0,PAPD,96525,2005-01-16,2005-01-18,BF,2.0,2005,B,F
1,CITY ORDINANCE,25,0,PAPD,198887,2005-01-16,2005-01-18,BM,2.0,2005,B,M
1,FAILURE TO APPEAR,25,9101380,PAPD,6562,2005-01-17,2005-01-24,BM,7.0,2005,B,M
2,DRIVING-WHILE LIC EXPIRED,25,101380,PAPD,6562,2005-01-17,2005-01-24,BM,7.0,2005,B,M
3,FAILURE TO MNTN FINAN RESP,25,101380,PAPD,6562,2005-01-17,2005-01-24,BM,7.0,2005,B,M
4,DRIVING-EXPIRED LIC. PLATE,25,101380,PAPD,6562,2005-01-17,2005-01-24,BM,7.0,2005,B,M
5,VEH-LICENSE PLATE OFFENSE,25,101380,PAPD,6562,2005-01-17,2005-01-24,BM,7.0,2005,B,M
6,FAILURE TO APPEAR,25,9100930,PAPD,6562,2005-01-17,2005-01-24,BM,7.0,2005,B,M
7,DRIVING-WHILE LIC INVALID,25,100930,PAPD,6562,2005-01-17,2005-01-24,BM,7.0,2005,B,M
8,FAILURE TO MNTN FINAN RESP,25,100930,PAPD,6562,2005-01-17,2005-01-24,BM,7.0,2005,B,M
9,DRIVING-EXPIRED LIC. PLATE,25,0,PAPD,6562,2005-01-17,2005-01-24,BM,7.0,2005,B,M
1,PUBLIC INTOXICATION,25,0,PAPD,173057,2005-01-17,2005-01-20,WM,3.0,2005,W,M
1,DISORDERLY CONDUCT,25,0,PAPD,223466,2005-01-17,2005-01-17,BF,0.0,2005,B,F
1,DISORDERLY CONDUCT,25,0,PAPD,241461,2005-01-17,2005-01-17,BM,0.0,2005,B,M
1,FAILURE TO APPEAR,0,9097364,PAPD,240692,2005-01-18,2005-01-18,BM,0.0,2005,B,M
2,DRIVING-WHILE LIC INVALID,0,97364,PAPD,240692,2005-01-18,2005-01-18,BM,0.0,2005,B,M
3,FAILURE TO APPEAR,0,9094575,PAPD,240692,2005-01-18,2005-01-18,BM,0.0,2005,B,M
4,DRIVING-WHILE LIC INVALID,0,94575,PAPD,240692,2005-01-18,2005-01-18,BM,0.0,2005,B,M
5,NO LIABILITY INSURANCE,0,94575,PAPD,240692,2005-01-18,2005-01-18,BM,0.0,2005,B,M
1,FAILURE TO APPEAR,25,9109884,PAPD,161241,2005-01-19,2005-01-19,BM,0.0,2005,B,M
2,DRIVING-NO DRIVERS LICENSE,25,109884,PAPD,161241,2005-01-19,2005-01-19,BM,0.0,2005,B,M
3,NO LIABILITY INSURANCE,25,109884,PAPD,161241,2005-01-19,2005-01-19,BM,0.0,2005,B,M
4,DRIVING-EXPIRED LIC. PLATE,25,109884,PAPD,161241,2005-01-19,2005-01-19,BM,0.0,2005,B,M
1,DRIVING-NO MVI STICKER,0,97736,PAPD,205400,2005-01-19,2005-01-19,WM,0.0,2005,W,M
2,DRIVING-EXPIRED LIC. PLATE,0,97736,PAPD,205400,2005-01-19,2005-01-19,WM,0.0,2005,W,M
1,TRESPASSING,25,0,PAPD,251634,2005-01-19,2005-01-22,BM,3.0,2005,B,M
1,FAILURE TO APPEAR,25,9110377,PAPD,254536,2005-01-19,2005-01-22,BM,3.0,2005,B,M
